SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,ISIN NUMBER,FACE VALUE
ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-Nov-1995,INE715B01013,10
ANGELBRKG,Angel Broking Limited,EQ,05-Oct-2020,INE732I01013,10
ANIKINDS,Anik Industries Limited,EQ,21-May-2008,INE087B01017,10
ANKITMETAL,Ankit Metal & Power Limited,BE,14-Mar-2013,INE106I01010,10
ANMOL,Anmol India Limited,EQ,04-Jun-2021,INE02AR01019,10
ANSALAPI,Ansal Properties & Infrastructure Limited,EQ,27-Jan-2006,INE436A01026,5
ANSALHSG,Ansal Housing Limited,EQ,06-Oct-2006,INE880B01015,10
ANUP,The Anup Engineering Limited,EQ,01-Mar-2019,INE294Z01018,10
ANURAS,Anupam Rasayan India Limited,EQ,24-Mar-2021,INE930P01018,10
APARINDS,Apar Industries Limited,EQ,12-Jul-2004,INE372A01015,10
APCL,Anjani Portland Cement Limited,EQ,10-Apr-2017,INE071F01012,10
APCOTEXIND,Apcotex Industries Limited,EQ,06-Sep-1995,INE116A01032,2
APEX,Apex Frozen Foods Limited,EQ,04-Sep-2017,INE346W01013,10
APLAPOLLO,APL Apollo Tubes Limited,EQ,14-Dec-2011,INE702C01027,2
APLLTD,Alembic Pharmaceuticals Limited,EQ,20-Sep-2011,INE901L01018,2
APOLLO,Apollo Micro Systems Limited,EQ,22-Jan-2018,INE713T01010,10
APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-Jan-1996,INE437A01024,5
APOLLOPIPE,Apollo Pipes Limited,EQ,11-Nov-2019,INE126J01016,10
APOLLOTYRE,Apollo Tyres Limited,EQ,31-May-1995,INE438A01022,1
APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-Jan-2015,INE451F01024,5
APTECHT,Aptech Limited,EQ,27-Sep-2002,INE266F01018,10
ARCHIDPLY,Archidply Industries Limited,BE,04-Jul-2008,INE877I01016,10
ARCHIES,Archies Limited,BE,02-Sep-1998,INE731A01020,2
ARENTERP,Rajdarshan Industries Limited,EQ,18-Oct-1995,INE610C01014,10
ARIES,Aries Agro Limited,EQ,11-Jan-2008,INE298I01015,10
ARIHANT,Arihant Foundations & Housing Limited,EQ,26-Dec-2006,INE413D01011,10
ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-Jun-2021,INE420B01028,5
ARIHANTSUP,Arihant Superstructures Limited,EQ,28-Mar-2017,INE643K01018,10
ARMANFIN,Arman Financial Services Limited,EQ,14-Jun-2016,INE109C01017,10
AROGRANITE,Aro Granite Industries Limited,EQ,24-Apr-2007,INE210C01013,10
ARROWGREEN,Arrow Greentech Limited,EQ,21-May-2015,INE570D01018,10
ARSHIYA,Arshiya Limited,EQ,14-Dec-2009,INE968D01022,2
ARSSINFRA,ARSS Infrastructure Projects Limited,EQ,03-Mar-2010,INE267I01010,10
ARTEMISMED,Artemis Medicare Services Limited,EQ,23-Jan-2020,INE025R01013,10
ARVEE,Arvee Laboratories (India) Limited,BE,22-Mar-2021,INE006Z01016,10
ARVIND,Arvind Limited,EQ,08-Feb-1995,INE034A01011,10
ARVINDFASN,Arvind Fashions Limited,EQ,08-Mar-2019,INE955V01021,4
ARVSMART,Arvind SmartSpaces Limited,EQ,26-Aug-2015,INE034S01021,10
ASAHIINDIA,Asahi India Glass Limited,EQ,18-Mar-1998,INE439A01020,1
ASAHISONG,Asahi Songwon Colors Limited,EQ,29-Aug-2011,INE228I01012,10
ASAL,Automotive Stampings and Assemblies Limited,BE,12-Mar-2002,INE900C01027,10
ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-Feb-2020,INE073G01016,10
ASHAPURMIN,Ashapura Minechem Limited,BE,20-Sep-1995,INE348A01023,2
ASHIANA,Ashiana Housing Limited,EQ,29-Jun-2011,INE365D01021,2
ASHIMASYN,Ashima Limited,EQ,27-Jul-1995,INE440A01010,10
ASHOKA,Ashoka Buildcon Limited,EQ,14-Oct-2010,INE442H01029,5
ASHOKLEY,Ashok Leyland Limited,EQ,25-May-1995,INE208A01029,1
ASIANHOTNR,Asian Hotels (North) Limited,EQ,07-Apr-2010,INE363A01022,10
ASIANPAINT,Asian Paints Limited,EQ,31-May-1995,INE021A01026,1
ASIANTILES,Asian Granito India Limited,EQ,23-Aug-2007,INE022I01019,10
ASPINWALL,Aspinwall and Company Limited,EQ,14-Jun-2016,INE991I01015,10
ASTEC,Astec LifeSciences Limited,EQ,25-Nov-2009,INE563J01010,10
ASTERDM,Aster DM Healthcare Limited,EQ,26-Feb-2018,INE914M01019,10
ASTRAL,Astral Limited,EQ,20-Mar-2007,INE006I01046,1
ASTRAMICRO,Astra Microwave Products Limited,EQ,01-Nov-2004,INE386C01029,2
ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-May-2001,INE203A01020,2
ASTRON,Astron Paper & Board Mill Limited,EQ,29-Dec-2017,INE646X01014,10
ATFL,Agro Tech Foods Limited,EQ,06-Dec-2002,INE209A01019,10
ATGL,Adani Total Gas Limited,BE,05-Nov-2018,INE399L01023,1
ATLANTA,Atlanta  Limited,BE,25-Sep-2006,INE285H01022,2
ATUL,Atul Limited,EQ,06-May-1998,INE100A01010,10
ATULAUTO,Atul Auto Limited,EQ,26-Jun-2013,INE951D01028,5
AUBANK,AU Small Finance Bank Limited,EQ,10-Jul-2017,INE949L01017,10
AURIONPRO,Aurionpro Solutions Limited,BE,25-Oct-2005,INE132H01018,10
AUROPHARMA,Aurobindo Pharma Limited,EQ,19-Jul-2000,INE406A01037,1
AUSOMENT,Ausom Enterprise Limited,BE,17-Apr-1996,INE218C01016,10
AUTOAXLES,Automotive Axles Limited,EQ,29-May-2003,INE449A01011,10
AUTOIND,Autoline Industries Limited,EQ,31-Jan-2007,INE718H01014,10
AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-Jul-2017,INE349W01017,10
AVANTIFEED,Avanti Feeds Limited,EQ,15-Apr-2015,INE871C01038,1
AVTNPL,AVT Natural Products Limited,EQ,10-Jan-2007,INE488D01021,1
AWHCL,Antony Waste Handling Cell Limited,EQ,01-Jan-2021,INE01BK01022,5
AXISBANK,Axis Bank Limited,EQ,16-Nov-1998,INE238A01034,2
AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-2000,INE555B01013,5
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-2015,INE193B01039,10
BAFNAPH,Bafna Pharmaceuticals Limited,EQ,27-Feb-2020,INE878I01022,10
BAGFILMS,B.A.G Films and Media Limited,EQ,17-Oct-2003,INE116D01028,2
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-2008,INE917I01010,10
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-2010,INE933K01021,1
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-2007,INE193E01025,2
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-2008,INE918I01018,5
BAJAJHIND,Bajaj Hindusthan Sugar Limited,BE,10-May-1995,INE306A01021,1
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-1995,INE118A01012,10
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-2003,INE296A01024,2
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-2000,INE794B01026,2
BALAMINES,Balaji Amines Limited,EQ,05-Apr-2007,INE050E01027,2
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-2015,INE618N01014,10
BALKRISIND,Balkrishna Industries Limited,EQ,27-Jan-2006,INE787D01026,2
BALLARPUR,Ballarpur Industries Limited,BZ,31-Mar-2008,INE294A01037,2
BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-Jul-1995,INE164A01016,10
BALPHARMA,Bal Pharma Limited,EQ,08-May-2006,INE083D01012,10
BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-Feb-1995,INE119A01028,1
BANARBEADS,Banaras Beads Limited,EQ,07-Jul-1995,INE655B01011,10
BANARISUG,Bannari Amman Sugars Limited,EQ,28-May-2003,INE459A01010,10
BANCOINDIA,Banco Products (I) Limited,EQ,22-Dec-2006,INE213C01025,2
BANDHANBNK,Bandhan Bank Limited,EQ,27-Mar-2018,INE545U01014,10
BANG,Bang Overseas Limited,BE,20-Feb-2008,INE863I01016,10
BANKA,Banka BioLoo Limited,EQ,29-Oct-2020,INE862Y01015,10
BANKBARODA,Bank of Baroda,EQ,19-Feb-1997,INE028A01039,2
BANKINDIA,Bank of India,EQ,30-Apr-1997,INE084A01016,10
BANSWRAS,Banswara Syntex Limited,EQ,11-Apr-2007,INE629D01012,10
BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-Apr-2021,INE382M01027,5
BARTRONICS,Bartronics India Limited,BZ,12-Jan-2006,INE855F01034,10
BASF,BASF India Limited,EQ,17-May-1995,INE373A01013,10
BASML,Bannari Amman Spinning Mills Limited,EQ,14-Nov-2005,INE186H01022,5
BATAINDIA,Bata India Limited,EQ,18-Jun-2003,INE176A01028,5
BAYERCROP,Bayer Cropscience Limited,EQ,08-Jan-2010,INE462A01022,10
BBL,Bharat Bijlee Limited,EQ,21-Nov-2006,INE464A01028,10
BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-Apr-1996,INE050A01025,2
BCG,Brightcom Group Limited,BE,08-May-2015,INE425B01027,2
BCLIND,Bcl Industries Limited,EQ,04-Mar-2021,INE412G01016,10
BCP,B.C. Power Controls Ltd,EQ,19-Aug-2019,INE905P01028,2
BDL,Bharat Dynamics Limited,EQ,23-Mar-2018,INE171Z01018,10
BEARDSELL,Beardsell Limited,EQ,13-Jan-2015,INE520H01022,2
BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-Dec-2020,INE495P01012,10
BEDMUTHA,Bedmutha Industries Limited,BE,14-Oct-2010,INE844K01012,10
BEL,Bharat Electronics Limited,EQ,19-Jul-2000,INE263A01024,1
BEML,BEML Limited,EQ,05-Nov-2003,INE258A01016,10
BEPL,Bhansali Engineering Polymers Limited,EQ,21-Mar-2005,INE922A01025,1
BERGEPAINT,Berger Paints (I) Limited,EQ,24-Nov-1999,INE463A01038,1
BESTAGRO,Best Agrolife Limited,EQ,22-Feb-2021,INE052T01013,10
BFINVEST,BF Investment Limited,EQ,14-Jan-2011,INE878K01010,5
BFUTILITIE,BF Utilities Limited,EQ,03-May-2007,INE243D01012,5
BGRENERGY,BGR Energy Systems Limited,EQ,03-Jan-2008,INE661I01014,10
BHAGERIA,Bhageria Industries Limited,EQ,02-Mar-2016,INE354C01027,5
BHAGYANGR,Bhagyanagar India Limited,EQ,17-May-2017,INE458B01036,2
BHAGYAPROP,Bhagyanagar Properties Limited,EQ,20-Jul-2017,INE363W01018,2
BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-Jan-2017,INE474E01029,1
BHARATFORG,Bharat Forge Limited,EQ,04-Apr-2003,INE465A01025,2
BHARATGEAR,Bharat Gears Limited,EQ,03-Apr-1996,INE561C01019,10
BHARATRAS,Bharat Rasayan Limited,EQ,11-Oct-1995,INE838B01013,10
BHARATWIRE,Bharat Wire Ropes Limited,BE,01-Apr-2016,INE316L01019,10
BHARTIARTL,Bharti Airtel Limited,EQ,15-Feb-2002,INE397D01024,5
BHEL,Bharat Heavy Electricals Limited,EQ,11-Nov-2003,INE257A01026,2
BIGBLOC,Bigbloc Construction Limited,EQ,02-Sep-2016,INE412U01017,10
BIL,Bhartiya International Limited,EQ,12-Apr-2000,INE828A01016,10
BINDALAGRO,Oswal Chemicals & Fertilizers Limited,EQ,28-Aug-1996,INE143A01010,10
BIOCON,Biocon Limited,EQ,07-Apr-2004,INE376G01013,5
BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-Jun-1996,INE829A01014,10
BIRLACABLE,Birla Cable Limited,BE,06-Dec-1995,INE800A01015,10
BIRLACORPN,Birla Corporation Limited,EQ,12-Apr-1995,INE340A01012,10
BIRLAMONEY,Aditya Birla Money Limited,EQ,07-Feb-2008,INE865C01022,1
BIRLATYRE,Birla Tyres Limited,EQ,10-Feb-2020,INE0AEJ01013,10
BKMINDST,Bkm Industries Limited,BE,30-Mar-2015,INE831Q01016,1
BLBLIMITED,BLB Limited,EQ,31-May-2000,INE791A01024,1
BLISSGVS,Bliss GVS Pharma Limited,EQ,26-Jul-2010,INE416D01022,1
BLKASHYAP,B. L. Kashyap and Sons Limited,EQ,17-Mar-2006,INE350H01032,1
BLS,BLS International Services Limited,EQ,14-Jun-2016,INE153T01027,1
BLUEDART,Blue Dart Express Limited,EQ,12-Dec-2002,INE233B01017,10
BLUESTARCO,Blue Star Limited,EQ,15-Jun-2000,INE472A01039,2
BODALCHEM,Bodal Chemicals Limited,EQ,22-Aug-2011,INE338D01028,2
BOMDYEING,Bombay Dyeing & Mfg Company Limited,EQ,26-Apr-1995,INE032A01023,2
BOROLTD,Borosil Limited,EQ,22-Jul-2020,INE02PY01013,1
BORORENEW,BOROSIL RENEWABLES LIMITED,BE,25-May-2018,INE666D01022,1
BOSCHLTD,Bosch Limited,EQ,12-May-2003,INE323A01026,10
BPCL,Bharat Petroleum Corporation Limited,EQ,13-Sep-1995,INE029A01011,10
BPL,BPL Limited,EQ,14-Jun-1995,INE110A01019,10
BRFL,Bombay Rayon Fashions Limited,BE,05-Dec-2005,INE589G01011,10
BRIGADE,Brigade Enterprises Limited,EQ,31-Dec-2007,INE791I01019,10
BRITANNIA,Britannia Industries Limited,EQ,05-Nov-1998,INE216A01030,1
BRNL,Bharat Road Network Limited,EQ,18-Sep-2017,INE727S01012,10
BROOKS,Brooks Laboratories Limited,EQ,05-Sep-2011,INE650L01011,10
BSE,BSE Limited,EQ,03-Feb-2017,INE118H01025,2
BSHSL,Bombay Super Hybrid Seeds Limited,BE,28-Oct-2020,INE032Z01012,10
BSL,BSL Limited,EQ,27-Jul-1995,INE594B01012,10
BSOFT,BIRLASOFT LIMITED,EQ,24-Nov-1999,INE836A01035,2
BURGERKING,Burger King India Limited,EQ,14-Dec-2020,INE07T201019,10
BURNPUR,Burnpur Cement Limited,BE,03-Jan-2008,INE817H01014,10
BUTTERFLY,Butterfly Gandhimathi Appliances Limited,BE,28-Apr-2014,INE295F01017,10
BVCL,Barak Valley Cements Limited,BE,23-Nov-2007,INE139I01011,10
BYKE,The Byke Hospitality Ltd,EQ,15-Apr-2015,INE319B01014,10
CADILAHC,Cadila Healthcare Limited,EQ,18-Apr-2000,INE010B01027,1
CALSOFT,California Software Company Limited,BE,28-Jun-2000,INE526B01014,10
CAMLINFINE,Camlin Fine Sciences Limited,EQ,20-Jan-2015,INE052I01032,1
CAMS,Computer Age Management Services Limited,EQ,07-May-2021,INE596I01012,10
CANBK,Canara Bank,EQ,23-Dec-2002,INE476A01014,10
CANDC,C & C Constructions Limited,BZ,26-Feb-2007,INE874H01015,10
CANFINHOME,Can Fin Homes Limited,EQ,10-May-1995,INE477A01020,2
CANTABIL,Cantabil Retail India Limited,EQ,12-Oct-2010,INE068L01016,10
CAPACITE,Capacit'e Infraprojects Limited,EQ,25-Sep-2017,INE264T01014,10
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,23-Jun-2014,INE475E01026,2
CAPTRUST,Capital Trust Limited,EQ,16-Jan-2017,INE707C01018,10
CARBORUNIV,Carborundum Universal Limited,EQ,03-Apr-1996,INE120A01034,1
CAREERP,Career Point Limited,EQ,06-Oct-2010,INE521J01018,10
CARERATING,CARE Ratings Limited,EQ,26-Dec-2012,INE752H01013,10
CASTROLIND,Castrol India Limited,EQ,14-Mar-2014,INE172A01027,5
CCHHL,Country Club Hospitality & Holidays Limited,BE,03-Feb-2015,INE652F01027,2
CCL,CCL Products (India) Limited,EQ,07-Jun-2004,INE421D01022,2
CDSL,Central Depository Services (India) Limited,BE,30-Jun-2017,INE736A01011,10
CEATLTD,CEAT Limited,EQ,01-Feb-2008,INE482A01020,10
CEBBCO,Commercial Engineers & Body Builders Co Limited,BE,18-Oct-2010,INE209L01016,10
CELEBRITY,Celebrity Fashions Limited,EQ,12-Jan-2006,INE185H01016,10
CENTENKA,Century Enka Limited,EQ,10-May-1995,INE485A01015,10
CENTEXT,Century Extrusions Limited,EQ,20-Jul-2004,INE281A01026,1
CENTRALBK,Central Bank of India,EQ,21-Aug-2007,INE483A01010,10
CENTRUM,Centrum Capital Limited,EQ,04-Apr-2018,INE660C01027,1
CENTUM,Centum Electronics Limited,EQ,05-Oct-2007,INE320B01020,10
CENTURYPLY,Century Plyboards (India) Limited,EQ,23-Mar-2006,INE348B01021,1
CENTURYTEX,Century Textiles & Industries Limited,EQ,27-Jun-2003,INE055A01016,10
CERA,Cera Sanitaryware Limited,EQ,02-Nov-2007,INE739E01017,5
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,26-Jun-2013,INE345B01019,10
CESC,CESC Limited,EQ,08-Feb-1995,INE486A01013,10
CGCL,Capri Global Capital Limited,EQ,29-Oct-2010,INE180C01026,2
CGPOWER,CG Power and Industrial Solutions Limited,BE,01-Mar-1995,INE067A01029,2
CHALET,Chalet Hotels Limited,EQ,07-Feb-2019,INE427F01016,10
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,14-Jun-1995,INE085A01013,10
CHEMBOND,Chembond Chemicals Ltd,EQ,20-Nov-2019,INE995D01025,5
CHEMCON,Chemcon Speciality Chemicals Limited,EQ,01-Oct-2020,INE03YM01018,10
CHEMFAB,Chemfab Alkalis Limited,EQ,25-Apr-2018,INE783X01023,10
CHENNPETRO,Chennai Petroleum Corporation Limited,EQ,07-Jun-2000,INE178A01016,10
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,EQ,15-May-1996,INE121A01024,2
CHOLAHLDNG,Cholamandalam Financial Holdings Limited,EQ,25-Sep-2017,INE149A01033,1
CIGNITITEC,Cigniti Technologies Limited,EQ,13-Oct-2014,INE675C01017,10
CINELINE,Cineline India Limited,EQ,13-Jun-2012,INE704H01022,5
CINEVISTA,Cinevista Limited,BE,02-May-2000,INE039B01026,2
CIPLA,Cipla Limited,EQ,08-Feb-1995,INE059A01026,2
CLEAN,Clean Science and Technology Limited,EQ,19-Jul-2021,INE227W01023,1
CLEDUCATE,CL Educate Limited,EQ,31-Mar-2017,INE201M01011,10
CLNINDIA,Clariant Chemicals (India) Limited,EQ,14-Jun-1995,INE492A01029,10
CLSEL,Chaman Lal Setia Exports Limited,EQ,12-May-2021,INE419D01026,2
CMICABLES,CMI Limited,EQ,29-Nov-2016,INE981B01011,10
COALINDIA,Coal India Limited,EQ,04-Nov-2010,INE522F01014,10
COCHINSHIP,Cochin Shipyard Limited,EQ,11-Aug-2017,INE704P01017,10
COFFEEDAY,Coffee Day Enterprises Limited,EQ,02-Nov-2015,INE335K01011,10
COFORGE,Coforge Limited,EQ,30-Aug-2004,INE591G01017,10
COLPAL,Colgate Palmolive (India) Limited,EQ,17-Dec-2007,INE259A01022,1
COMPINFO,Compuage Infocom Limited,EQ,07-Jul-2016,INE070C01037,2
COMPUSOFT,Compucom Software Limited,EQ,02-Mar-2012,INE453B01029,2
CONCOR,Container Corporation of India Limited,EQ,07-May-1997,INE111A01025,5
CONFIPET,Confidence Petroleum India Limited,EQ,13-Jun-2019,INE552D01024,1
CONSOFINVT,Consolidated Finvest & Holdings Limited,EQ,29-Mar-2005,INE025A01027,10
CONTROLPR,Control Print Limited,EQ,24-Jun-2016,INE663B01015,10
CORALFINAC,Coral India Finance & Housing Limited,EQ,25-Mar-1996,INE558D01021,2
CORDSCABLE,Cords Cable Industries Limited,EQ,13-Feb-2008,INE792I01017,10
COROMANDEL,Coromandel International Limited,EQ,31-May-1995,INE169A01031,1
COSMOFILMS,Cosmo Films Limited,EQ,25-May-1995,INE757A01017,10
COUNCODOS,Country Condo's Limited,EQ,22-Jan-2009,INE695B01025,1
COX&KINGS,Cox & Kings Limited,BZ,11-Dec-2009,INE008I01026,5
CRAFTSMAN,Craftsman Automation Limited,EQ,25-Mar-2021,INE00LO01017,5
CREATIVE,Creative Peripherals and Distribution Limited,BE,05-Aug-2019,INE985W01018,10
CREATIVEYE,Creative Eye Limited,EQ,20-Dec-2000,INE230B01021,5
CREDITACC,CREDITACCESS GRAMEEN LIMITED,EQ,23-Aug-2018,INE741K01010,10
CREST,Crest Ventures Limited,BE,27-Dec-2006,INE559D01011,10
CRISIL,CRISIL Limited,EQ,28-Jun-1995,INE007A01025,1
CROMPTON,Crompton Greaves Consumer Electricals Limited,EQ,13-May-2016,INE299U01018,2
CSBBANK,CSB Bank Limited,EQ,04-Dec-2019,INE679A01013,10
CTE,Cambridge Technology Enterprises Limited,EQ,07-Feb-2007,INE627H01017,10
CUB,City Union Bank Limited,EQ,25-Aug-1998,INE491A01021,1
CUBEXTUB,Cubex Tubings Limited,EQ,24-Apr-1996,INE144D01012,10
CUMMINSIND,Cummins India Limited,EQ,29-Mar-1995,INE298A01020,2
CUPID,Cupid Limited,EQ,16-Sep-2016,INE509F01011,10
CYBERMEDIA,Cyber Media (India) Limited,BE,10-Jun-2005,INE278G01037,10
CYBERTECH,Cybertech Systems And Software Limited,EQ,27-Jan-1999,INE214A01019,10
CYIENT,Cyient Limited,EQ,30-Sep-1998,INE136B01020,5
DAAWAT,LT Foods Limited,EQ,18-Dec-2006,INE818H01020,1
DABUR,Dabur India Limited,EQ,28-Apr-1999,INE016A01026,1
DALBHARAT,Dalmia Bharat Limited,EQ,22-Jan-2019,INE00R701025,2
